,Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率,展示タイム,スタートタイム
3,20231021,3,常滑,4,3257,田頭実,56,福岡,51,A2,7.30,66.96,6.33,33.33,31.07,34.67,6.99,0.2
4,20231021,3,常滑,5,5211,高井駿弥,25,愛知,48,B1,2.77,6.76,1.77,1.92,36.16,36.67,6.99,0.2
5,20231021,3,常滑,6,4043,桐本康臣,44,三重,54,A1,6.03,43.09,6.28,46.51,34.53,20.29,6.99,0.2
0,20231021,4,常滑,1,4514,上條嘉嗣,33,大阪,52,A1,6.31,48.18,6.82,58.82,34.45,25.68,6.99,0.2
1,20231021,4,常滑,2,5190,大月遊雅,22,東京,54,B1,3.04,10.26,2.67,16.67,26.63,36.62,6.99,0.2
2,20231021,4,常滑,3,4329,小松卓司,40,福岡,52,B1,4.77,31.96,0.00,0.00,31.28,25.00,6.99,0.2
3,20231021,4,常滑,4,4570,前田聖文,35,愛知,54,A2,5.84,40.54,5.56,37.10,41.74,26.56,6.99,0.2
4,20231021,4,常滑,5,4785,木幡純也,35,愛知,52,B1,3.99,12.35,3.98,16.67,38.18,38.16,6.99,0.2
5,20231021,4,常滑,6,3629,浅見昌克,53,埼玉,52,A2,5.31,33.61,4.91,39.13,33.18,41.56,6.99,0.2
0,20231021,5,常滑,1,3065,増田弘喜,63,埼玉,57,B1,3.88,15.38,3.82,18.18,37.67,27.69,6.99,0.2
1,20231021,5,常滑,2,3361,岡部浩,54,徳島,51,B1,4.49,23.81,8.43,71.43,36.92,35.00,6.99,0.2
2,20231021,5,常滑,3,4903,吉田凌太,30,愛知,50,A1,5.32,31.91,6.50,40.91,32.13,23.53,6.99,0.2
3,20231021,5,常滑,4,4976,金山立樹,29,東京,54,B1,3.85,15.91,4.29,25.00,36.11,47.30,6.99,0.2
4,20231021,5,常滑,5,4663,籾山佳岳,41,愛知,52,B2,5.05,28.21,4.79,25.00,36.87,38.67,6.99,0.2
5,20231021,5,常滑,6,3635,石田政吾,52,福井,52,A2,6.13,39.26,6.10,48.78,34.16,35.14,6.99,0.2
0,20231021,6,常滑,1,4797,中山将,31,三重,53,A2,6.16,48.46,5.06,36.11,26.32,34.33,6.99,0.2
1,20231021,6,常滑,2,4453,永田郁弥,35,愛知,54,B1,3.24,13.76,4.33,25.00,27.00,28.36,6.99,0.2
2,20231021,6,常滑,3,4390,松本弓雄,37,徳島,53,B1,4.30,22.64,0.00,0.00,32.56,29.17,6.99,0.2
3,20231021,6,常滑,4,4318,桑原将光,39,東京,52,A2,5.79,36.30,6.07,46.67,25.97,34.29,6.99,0.2
4,20231021,6,常滑,5,5292,佐藤右京,22,東京,57,B2,1.27,0.00,0.00,0.00,35.38,33.33,6.99,0.2
5,20231021,6,常滑,6,4516,野口勝弘,36,愛知,51,A1,6.92,55.47,7.08,52.08,36.04,32.84,6.99,0.2
0,20231021,7,常滑,1,3692,竹腰正樹,52,福井,53,B1,4.96,26.32,5.22,37.04,26.02,21.21,6.99,0.2
1,20231021,7,常滑,2,4527,高野心吾,35,愛知,50,B1,4.46,27.18,4.60,26.83,30.39,29.03,6.99,0.2
2,20231021,7,常滑,3,4042,丸岡正典,44,大阪,52,A1,6.61,50.00,7.61,61.29,43.66,38.96,6.99,0.2
3,20231021,7,常滑,4,3922,菅沼佳昭,48,愛知,51,B1,3.78,18.58,4.74,27.38,30.41,21.62,6.99,0.2
4,20231021,7,常滑,5,4779,伊倉光,37,東京,50,B2,3.44,11.11,4.65,20.00,27.88,30.77,6.99,0.2
5,20231021,7,常滑,6,3902,蜷川哲平,46,東京,54,A2,5.33,29.67,6.38,56.25,35.38,29.41,6.99,0.2
0,20231021,8,常滑,1,4003,表憲一,45,福井,54,B1,5.75,34.15,5.77,36.36,37.90,37.50,6.99,0.2
1,20231021,8,常滑,2,4785,木幡純也,35,愛知,52,B1,3.99,12.35,3.98,16.67,38.18,38.16,6.99,0.2
2,20231021,8,常滑,3,3293,宮内由紀,58,東京,53,B1,3.96,14.12,3.92,12.50,36.32,32.43,6.99,0.2
3,20231021,8,常滑,4,3662,大庭元明,53,福岡,56,A2,5.08,32.82,5.00,14.29,28.00,34.21,6.99,0.2
4,20231021,8,常滑,5,5285,若林麗,24,東京,51,B2,1.24,0.00,0.00,0.00,29.56,24.24,6.99,0.2
5,20231021,8,常滑,6,4276,鈴木勝博,40,愛知,52,A1,6.79,53.28,6.63,47.37,31.51,35.90,6.99,0.2
0,20231021,9,常滑,1,3872,岡田憲行,47,大阪,53,A2,5.71,36.09,5.19,32.43,36.19,36.11,6.99,0.2
1,20231021,9,常滑,2,4976,金山立樹,29,東京,54,B1,3.85,15.91,4.29,25.00,36.11,47.30,6.99,0.2
2,20231021,9,常滑,3,5211,高井駿弥,25,愛知,48,B1,2.77,6.76,1.77,1.92,36.16,36.67,6.99,0.2
3,20231021,9,常滑,4,3362,間嶋仁志,54,三重,54,A2,6.22,48.80,5.37,39.53,35.29,26.67,6.99,0.2
4,20231021,9,常滑,5,4837,酒井陽祐,34,愛知,51,B1,4.16,19.54,4.25,27.87,34.56,29.17,6.99,0.2
5,20231021,9,常滑,6,4329,小松卓司,40,福岡,52,B1,4.77,31.96,0.00,0.00,31.28,25.00,6.99,0.2
0,20231021,10,常滑,1,4318,桑原将光,39,東京,52,A2,5.79,36.30,6.07,46.67,25.97,25.33,6.99,0.2
1,20231021,10,常滑,2,3851,森田昭彦,51,福岡,56,B1,4.24,22.09,4.92,33.33,31.12,25.71,6.99,0.2
2,20231021,10,常滑,3,3776,横井健太,48,愛知,56,B1,3.99,20.91,4.50,21.77,36.74,33.80,6.99,0.2
3,20231021,10,常滑,4,5186,遠藤圭吾,23,東京,54,B1,4.30,21.74,2.67,9.99,24.88,33.77,6.99,0.2
4,20231021,10,常滑,5,3361,岡部浩,54,徳島,51,B1,4.49,23.81,8.43,71.43,36.92,35.00,6.99,0.2
5,20231021,10,常滑,6,4570,前田聖文,35,愛知,54,A2,5.84,40.54,5.56,37.10,41.74,26.56,6.99,0.2
0,20231021,11,常滑,1,3257,田頭実,56,福岡,51,A2,7.30,66.96,6.33,33.33,31.07,34.67,6.99,0.2
1,20231021,11,常滑,2,3635,石田政吾,52,福井,52,A2,6.13,39.26,6.10,48.78,34.16,35.14,6.99,0.2
2,20231021,11,常滑,3,3629,浅見昌克,53,埼玉,52,A2,5.31,33.61,4.91,39.13,33.18,41.56,6.99,0.2
3,20231021,11,常滑,4,4142,平野和明,42,愛知,53,A2,5.83,37.86,5.89,38.73,31.94,39.39,6.99,0.2
4,20231021,11,常滑,5,4797,中山将,31,三重,53,A2,6.16,48.46,5.06,36.11,26.32,34.33,6.99,0.2
5,20231021,11,常滑,6,4692,酒井俊弘,39,福井,53,A2,5.21,34.71,6.00,33.33,36.20,27.14,6.99,0.2
0,20231021,12,常滑,1,4042,丸岡正典,44,大阪,52,A1,6.61,50.00,7.61,61.29,43.66,38.96,6.99,0.2
1,20231021,12,常滑,2,4276,鈴木勝博,40,愛知,52,A1,6.79,53.28,6.63,47.37,31.51,35.90,6.99,0.2
2,20231021,12,常滑,3,4043,桐本康臣,44,三重,54,A1,6.03,43.09,6.28,46.51,34.53,20.29,6.99,0.2
3,20231021,12,常滑,4,4516,野口勝弘,36,愛知,51,A1,6.92,55.47,7.08,52.08,36.04,32.84,6.99,0.2
4,20231021,12,常滑,5,4514,上條嘉嗣,33,大阪,52,A1,6.31,48.18,6.82,58.82,34.45,25.68,6.99,0.2
5,20231021,12,常滑,6,4903,吉田凌太,30,愛知,50,A1,5.32,31.91,6.50,40.91,32.13,23.53,6.99,0.2
0,20231021,1,平和島,1,4893,渡邉真奈,33,東京,47,B1,4.78,24.07,4.79,32.69,32.31,26.39,6.99,0.2
1,20231021,1,平和島,2,4784,向井田真,36,広島,48,B1,3.99,27.54,0.00,0.00,44.74,28.57,6.99,0.2
2,20231021,1,平和島,3,5153,佐藤ほの,27,東京,46,B1,2.58,6.67,1.93,2.94,45.31,37.14,6.99,0.2
3,20231021,1,平和島,4,3302,谷川里江,56,愛知,46,A2,4.87,27.14,6.10,38.10,30.99,34.85,6.99,0.2
4,20231021,1,平和島,5,5078,山川波乙,26,三重,45,B1,4.35,27.27,1.57,0.00,51.47,46.38,6.99,0.2
5,20231021,1,平和島,6,5251,沼田七華,21,福井,54,B2,1.49,0.00,0.00,0.00,39.44,20.90,6.99,0.2
0,20231021,2,平和島,1,4929,梅内夕貴,28,東京,45,B2,2.24,5.88,2.63,6.25,33.33,25.35,6.99,0.2
1,20231021,2,平和島,2,3693,栢場優子,52,東京,44,B1,3.99,18.56,4.06,16.98,30.99,36.99,6.99,0.2
2,20231021,2,平和島,3,4414,大澤真菜,37,東京,44,B1,4.21,22.41,4.00,20.00,38.36,31.65,6.99,0.2
3,20231021,2,平和島,4,4244,鈴木成美,37,静岡,45,B1,5.09,32.35,4.73,31.82,51.32,32.35,6.99,0.2
4,20231021,2,平和島,5,4317,木村紗友,39,静岡,47,B1,4.75,26.25,5.00,30.00,33.33,31.43,6.99,0.2
5,20231021,2,平和島,6,3579,中里優子,50,埼玉,48,A2,5.74,34.65,6.10,44.90,45.21,26.47,6.99,0.2
0,20231021,3,平和島,1,4283,石井裕美,39,東京,51,B2,4.15,20.59,4.00,11.11,40.51,25.71,6.99,0.2
1,20231021,3,平和島,2,3580,水口由紀,50,滋賀,49,B1,5.28,29.07,6.20,40.00,47.06,32.86,6.99,0.2
2,20231021,3,平和島,3,5194,大久保佑,22,埼玉,42,B1,4.12,21.51,3.00,0.00,36.36,25.30,6.99,0.2
3,20231021,3,平和島,4,4791,黒澤めぐ,33,東京,47,B1,5.21,32.71,5.55,32.50,33.33,21.92,6.99,0.2
4,20231021,3,平和島,5,3999,大瀧明日,44,愛知,46,A1,6.11,42.22,5.43,33.33,33.33,27.54,6.99,0.2
5,20231021,3,平和島,6,4246,喜多那由,41,静岡,50,B1,4.43,23.66,5.36,45.45,43.06,39.44,6.99,0.2
0,20231021,4,平和島,1,3801,五反田忍,49,大阪,51,B1,5.27,40.24,5.18,27.27,34.85,42.62,6.99,0.2
1,20231021,4,平和島,2,5164,森田梨湖,23,福岡,46,B2,1.97,2.78,1.22,0.00,32.43,33.80,6.99,0.2
2,20231021,4,平和島,3,3509,道上千夏,51,香川,50,B1,4.07,20.22,4.40,20.00,36.23,39.71,6.99,0.2
3,20231021,4,平和島,4,4819,蜂須瑞生,32,群馬,46,B1,5.17,32.76,5.12,28.00,38.36,29.82,6.99,0.2
4,20231021,4,平和島,5,4690,高石梨菜,29,東京,48,B1,4.78,19.40,4.74,27.91,37.84,45.16,6.99,0.2
5,20231021,4,平和島,6,3611,岩崎芳美,51,徳島,49,A1,6.74,51.82,0.00,0.00,31.88,42.67,6.99,0.2
0,20231021,5,平和島,1,4484,稲生夏季,33,東京,49,B1,4.49,16.05,4.82,21.31,31.75,40.24,6.99,0.2
1,20231021,5,平和島,2,5056,西岡成美,27,徳島,45,A2,5.63,35.42,5.00,21.05,37.50,33.33,6.99,0.2
2,20231021,5,平和島,3,4893,渡邉真奈,33,東京,47,B1,4.78,24.07,4.79,32.69,32.31,26.39,6.99,0.2
3,20231021,5,平和島,4,5078,山川波乙,26,三重,45,B1,4.35,27.27,1.57,0.00,51.47,46.38,6.99,0.2
4,20231021,5,平和島,5,4891,寺島美里,33,東京,47,B1,5.45,30.00,5.11,38.60,34.72,27.63,6.99,0.2
5,20231021,5,平和島,6,3943,三松直美,44,岡山,63,B1,4.21,20.75,0.00,0.00,33.33,43.28,6.99,0.2
0,20231021,6,平和島,1,4569,中澤宏奈,35,東京,48,B1,4.46,29.41,5.91,49.23,45.68,35.29,6.99,0.2
1,20231021,6,平和島,2,4071,古賀千晶,42,兵庫,47,B1,5.30,33.33,6.91,54.55,28.38,43.84,6.99,0.2
2,20231021,6,平和島,3,4183,宇野弥生,37,愛知,46,A1,5.84,38.18,6.11,44.44,40.28,39.34,6.99,0.2
3,20231021,6,平和島,4,4784,向井田真,36,広島,48,B1,3.99,27.54,0.00,0.00,44.74,28.57,6.99,0.2
4,20231021,6,平和島,5,4929,梅内夕貴,28,東京,45,B2,2.24,5.88,2.63,6.25,33.33,25.35,6.99,0.2
5,20231021,6,平和島,6,4244,鈴木成美,37,静岡,45,B1,5.09,32.35,4.73,31.82,51.32,32.35,6.99,0.2
0,20231021,7,平和島,1,4414,大澤真菜,37,東京,44,B1,4.21,22.41,4.00,20.00,38.36,31.65,6.99,0.2
1,20231021,7,平和島,2,5153,佐藤ほの,27,東京,46,B1,2.58,6.67,1.93,2.94,45.31,37.14,6.99,0.2
2,20231021,7,平和島,3,4478,櫻本あゆ,35,群馬,49,A2,6.34,49.06,6.18,42.86,31.25,25.00,6.99,0.2
3,20231021,7,平和島,4,3355,橋谷田佳,55,東京,42,B2,2.50,0.00,4.97,13.33,38.81,25.00,6.99,0.2
4,20231021,7,平和島,5,3232,山川美由,56,香川,47,A2,6.21,45.56,7.00,54.55,29.85,23.19,6.99,0.2
5,20231021,7,平和島,6,3474,松瀬弘美,53,静岡,46,B1,4.97,28.30,5.11,34.21,39.44,40.91,6.99,0.2
0,20231021,8,平和島,1,3693,栢場優子,52,東京,44,B1,3.99,18.56,4.06,16.98,30.99,36.99,6.99,0.2
1,20231021,8,平和島,2,4011,堀之内紀,44,岡山,46,A1,6.20,49.09,6.15,41.51,28.38,37.68,6.99,0.2
2,20231021,8,平和島,3,3580,水口由紀,50,滋賀,49,B1,5.28,29.07,6.20,40.00,47.06,32.86,6.99,0.2
3,20231021,8,平和島,4,4317,木村紗友,39,静岡,47,B1,4.75,26.25,5.00,30.00,33.33,31.43,6.99,0.2
4,20231021,8,平和島,5,5251,沼田七華,21,福井,54,B2,1.49,0.00,0.00,0.00,39.44,20.90,6.99,0.2
5,20231021,8,平和島,6,3509,道上千夏,51,香川,50,B1,4.07,20.22,4.40,20.00,36.23,39.71,6.99,0.2
0,20231021,9,平和島,1,4891,寺島美里,33,東京,47,B1,5.45,30.00,5.11,38.60,34.72,27.63,6.99,0.2
1,20231021,9,平和島,2,4998,中村かな,30,東京,46,A2,5.67,37.61,6.02,44.90,28.17,48.48,6.99,0.2
2,20231021,9,平和島,3,3801,五反田忍,49,大阪,51,B1,5.27,40.24,5.18,27.27,34.85,42.62,6.99,0.2
3,20231021,9,平和島,4,5164,森田梨湖,23,福岡,46,B2,1.97,2.78,1.22,0.00,32.43,33.80,6.99,0.2
4,20231021,9,平和島,5,5194,大久保佑,22,埼玉,42,B1,4.12,21.51,3.00,0.00,36.36,25.30,6.99,0.2
5,20231021,9,平和島,6,4791,黒澤めぐ,33,東京,47,B1,5.21,32.71,5.55,32.50,33.33,21.92,6.99,0.2
0,20231021,10,平和島,1,3579,中里優子,50,埼玉,48,A2,5.74,34.65,6.10,44.90,45.21,26.47,6.99,0.2
1,20231021,10,平和島,2,3999,大瀧明日,44,愛知,46,A1,6.11,42.22,5.43,33.33,33.33,27.54,6.99,0.2
2,20231021,10,平和島,3,3302,谷川里江,56,愛知,46,A2,4.87,27.14,6.10,38.10,30.99,34.85,6.99,0.2
3,20231021,10,平和島,4,4183,宇野弥生,37,愛知,46,A1,5.84,38.18,6.11,44.44,40.28,39.34,6.99,0.2
4,20231021,10,平和島,5,4484,稲生夏季,33,東京,49,B1,4.49,16.05,4.82,21.31,31.75,40.24,6.99,0.2
5,20231021,10,平和島,6,5056,西岡成美,27,徳島,45,A2,5.63,35.42,5.00,21.05,37.50,33.33,6.99,0.2
0,20231021,11,平和島,1,3611,岩崎芳美,51,徳島,49,A1,6.74,51.82,0.00,0.00,31.88,42.67,6.99,0.2
1,20231021,11,平和島,2,3232,山川美由,56,香川,47,A2,6.21,45.56,7.00,54.55,29.85,23.19,6.99,0.2
2,20231021,11,平和島,3,4819,蜂須瑞生,32,群馬,46,B1,5.17,32.76,5.12,28.00,38.36,29.82,6.99,0.2
3,20231021,11,平和島,4,4478,櫻本あゆ,35,群馬,49,A2,6.34,49.06,6.18,42.86,31.25,25.00,6.99,0.2
4,20231021,11,平和島,5,4071,古賀千晶,42,兵庫,47,B1,5.30,33.33,6.91,54.55,28.38,43.84,6.99,0.2
5,20231021,11,平和島,6,4569,中澤宏奈,35,東京,48,B1,4.46,29.41,5.91,49.23,45.68,35.29,6.99,0.2
0,20231021,12,平和島,1,4387,平山智加,38,香川,46,A1,7.10,54.96,6.79,42.11,53.85,32.76,6.99,0.2
1,20231021,12,平和島,2,3188,日高逸子,62,福岡,45,A1,6.24,46.79,5.00,36.36,29.41,24.68,6.99,0.2
2,20231021,12,平和島,3,4208,三浦永理,40,静岡,48,A1,7.09,55.17,5.27,27.27,40.85,44.05,6.99,0.2
3,20231021,12,平和島,4,4627,藤原菜希,37,東京,48,A2,6.67,50.00,6.61,53.03,44.29,36.99,6.99,0.2
4,20231021,12,平和島,5,4117,廣中智紗,42,東京,45,A1,6.24,38.14,6.69,50.00,34.25,32.26,6.99,0.2
5,20231021,12,平和島,6,4845,前田紗希,30,埼玉,47,A2,5.07,27.91,5.57,35.71,29.73,35.21,6.99,0.2
0,20231021,1,江戸川,1,3273,石田豪,57,広島,52,B1,4.00,18.46,4.11,11.11,46.59,32.35,6.99,0.2
1,20231021,1,江戸川,2,5178,成貞琳平,27,愛知,54,B1,2.74,7.41,3.21,12.82,35.71,28.13,6.99,0.2
2,20231021,1,江戸川,3,4211,村田敦,40,東京,60,B1,4.03,23.48,4.84,30.85,23.91,30.61,6.99,0.2
3,20231021,1,江戸川,4,3808,秋田健太,48,埼玉,60,B1,3.74,11.11,4.88,23.73,30.30,35.64,6.99,0.2
4,20231021,1,江戸川,5,3471,赤峰和也,53,佐賀,55,B1,3.98,21.43,0.00,0.00,27.18,33.33,6.99,0.2
5,20231021,1,江戸川,6,5294,豊田祥生,21,静岡,50,B2,1.53,1.61,0.00,0.00,21.05,33.67,6.99,0.2
0,20231021,2,江戸川,1,5047,國分将太,29,東京,54,B2,5.60,37.93,5.62,38.46,41.18,37.23,6.99,0.2
1,20231021,2,江戸川,2,4572,渡部悟,35,大阪,56,B1,5.65,34.92,5.27,35.06,39.80,38.00,6.99,0.2
2,20231021,2,江戸川,3,4145,小澤学,41,東京,53,B1,4.40,20.66,4.55,22.22,29.89,31.37,6.99,0.2
3,20231021,2,江戸川,4,4824,松井洪弥,30,三重,52,A2,6.24,44.60,6.00,50.00,50.51,35.29,6.99,0.2
4,20231021,2,江戸川,5,3947,寺本昇平,47,群馬,49,B1,4.81,27.43,5.25,29.55,24.42,42.20,6.99,0.2
5,20231021,2,江戸川,6,5300,横田海人,21,愛知,53,B2,1.59,1.45,0.00,0.00,15.96,33.67,6.99,0.2
0,20231021,3,江戸川,1,4271,川崎公靖,41,広島,52,B1,4.21,22.45,5.17,26.67,23.30,36.36,6.99,0.2
1,20231021,3,江戸川,2,4093,吉田宗弘,42,東京,51,B1,4.45,24.36,5.11,30.59,30.30,34.95,6.99,0.2
2,20231021,3,江戸川,3,4651,佐藤大騎,38,大阪,52,B1,4.28,22.11,2.95,5.00,48.00,23.53,6.99,0.2
3,20231021,3,江戸川,4,4959,井上忠政,27,大阪,52,A2,7.01,52.78,7.20,60.00,30.00,24.73,6.99,0.2
4,20231021,3,江戸川,5,4245,高橋直哉,41,東京,53,B1,4.47,24.10,5.52,34.38,27.38,30.61,6.99,0.2
5,20231021,3,江戸川,6,3934,鋤柄貴俊,46,愛知,53,B1,4.88,29.33,4.71,24.14,37.37,29.59,6.99,0.2
0,20231021,4,江戸川,1,3929,杢野誓良,48,愛知,52,B1,5.04,28.83,4.52,24.00,34.34,33.00,6.99,0.2
1,20231021,4,江戸川,2,4200,早川尚人,41,大阪,55,B1,4.56,23.48,4.46,16.67,44.00,36.08,6.99,0.2
2,20231021,4,江戸川,3,3769,佐竹恒彦,50,滋賀,52,A2,4.80,26.97,6.40,45.00,39.22,28.16,6.99,0.2
3,20231021,4,江戸川,4,4407,鹿島敏弘,37,群馬,57,B1,5.19,26.85,5.38,30.19,38.38,25.32,6.99,0.2
4,20231021,4,江戸川,5,5096,上原崚,28,東京,53,B1,5.18,34.21,4.07,22.39,32.99,37.76,6.99,0.2
5,20231021,4,江戸川,6,5290,坂本一真,22,東京,54,B2,1.20,0.00,0.00,0.00,30.93,26.37,6.99,0.2
0,20231021,5,江戸川,1,3807,岡部哲,48,埼玉,52,B1,5.10,30.25,6.22,50.00,29.90,45.19,6.99,0.2
1,20231021,5,江戸川,2,5049,松井友汰,28,大阪,55,B1,5.03,32.89,4.97,29.23,31.96,34.00,6.99,0.2
2,20231021,5,江戸川,3,4928,栗城匠,28,東京,51,A1,6.80,47.30,6.29,38.54,28.28,23.71,6.99,0.2
3,20231021,5,江戸川,4,3471,赤峰和也,53,佐賀,55,B1,3.98,21.43,0.00,0.00,27.18,33.33,6.99,0.2
4,20231021,5,江戸川,5,3690,河合三弘,53,愛知,53,B1,5.21,30.16,6.34,50.00,40.00,37.86,6.99,0.2
5,20231021,5,江戸川,6,4491,田中堅,36,群馬,51,B1,5.56,35.94,4.18,15.22,22.00,38.54,6.99,0.2
0,20231021,6,江戸川,1,4666,日笠勝弘,39,大阪,51,B1,4.26,18.00,4.65,31.08,38.38,36.17,6.99,0.2
1,20231021,6,江戸川,2,3808,秋田健太,48,埼玉,60,B1,3.74,11.11,4.88,23.73,30.30,35.64,6.99,0.2
2,20231021,6,江戸川,3,4112,大久保信,43,佐賀,54,A2,5.74,40.38,6.67,44.44,40.00,45.65,6.99,0.2
3,20231021,6,江戸川,4,4886,入海馨,27,岡山,53,A1,6.83,51.91,6.24,44.83,31.58,37.89,6.99,0.2
4,20231021,6,江戸川,5,5300,横田海人,21,愛知,53,B2,1.59,1.45,0.00,0.00,15.96,33.67,6.99,0.2
5,20231021,6,江戸川,6,4660,宇田川信,32,東京,53,B1,3.76,15.15,5.13,30.83,26.80,32.32,6.99,0.2
0,20231021,7,江戸川,1,4325,新出浩司,40,大阪,52,B1,5.05,28.57,4.75,30.51,36.36,20.93,6.99,0.2
1,20231021,7,江戸川,2,4757,山田祐也,34,徳島,53,A2,6.79,54.87,3.75,0.00,47.42,23.75,6.99,0.2
2,20231021,7,江戸川,3,4245,高橋直哉,41,東京,53,B1,4.47,24.10,5.52,34.38,27.38,30.61,6.99,0.2
3,20231021,7,江戸川,4,4933,板橋侑我,27,静岡,53,A1,6.86,51.65,7.01,53.33,32.65,30.70,6.99,0.2
4,20231021,7,江戸川,5,4572,渡部悟,35,大阪,56,B1,5.65,34.92,5.27,35.06,39.80,38.00,6.99,0.2
5,20231021,7,江戸川,6,5178,成貞琳平,27,愛知,54,B1,2.74,7.41,3.21,12.82,35.71,28.13,6.99,0.2
0,20231021,8,江戸川,1,4888,金児隆太,36,群馬,52,A2,5.73,35.14,5.30,33.96,34.74,33.68,6.99,0.2
