,Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率,展示タイム,スタートタイム
1,20231021,8,江戸川,2,4651,佐藤大騎,38,大阪,52,B1,4.28,22.11,2.95,5.00,48.00,23.53,6.99,0.2
2,20231021,8,江戸川,3,5047,國分将太,29,東京,54,B2,5.60,37.93,5.62,38.46,41.18,37.23,6.99,0.2
3,20231021,8,江戸川,4,4465,大西賢,37,東京,52,B1,4.40,26.26,5.39,35.00,27.00,39.80,6.99,0.2
4,20231021,8,江戸川,5,5294,豊田祥生,21,静岡,50,B2,1.53,1.61,0.00,0.00,21.05,33.67,6.99,0.2
5,20231021,8,江戸川,6,4513,河野真也,34,福岡,52,A2,5.70,40.87,5.68,41.94,20.24,43.75,6.99,0.2
0,20231021,9,江戸川,1,4959,井上忠政,27,大阪,52,A2,7.01,52.78,7.20,60.00,30.00,24.73,6.99,0.2
1,20231021,9,江戸川,2,3947,寺本昇平,47,群馬,49,B1,4.81,27.43,5.25,29.55,24.42,42.20,6.99,0.2
2,20231021,9,江戸川,3,4630,岩永雅人,36,愛知,52,A2,5.53,32.85,6.02,47.37,42.86,30.21,6.99,0.2
3,20231021,9,江戸川,4,3273,石田豪,57,広島,52,B1,4.00,18.46,4.11,11.11,46.59,32.35,6.99,0.2
4,20231021,9,江戸川,5,3769,佐竹恒彦,50,滋賀,52,A2,4.80,26.97,6.40,45.00,39.22,28.16,6.99,0.2
5,20231021,9,江戸川,6,5049,松井友汰,28,大阪,55,B1,5.03,32.89,4.97,29.23,31.96,34.00,6.99,0.2
0,20231021,10,江戸川,1,4112,大久保信,43,佐賀,54,A2,5.74,40.38,6.67,44.44,40.00,45.65,6.99,0.2
1,20231021,10,江戸川,2,4928,栗城匠,28,東京,51,A1,6.80,47.30,6.29,38.54,28.28,23.71,6.99,0.2
2,20231021,10,江戸川,3,3934,鋤柄貴俊,46,愛知,53,B1,4.88,29.33,4.71,24.14,37.37,29.59,6.99,0.2
3,20231021,10,江戸川,4,4200,早川尚人,41,大阪,55,B1,4.56,23.48,4.46,16.67,44.00,36.08,6.99,0.2
4,20231021,10,江戸川,5,4824,松井洪弥,30,三重,52,A2,6.24,44.60,6.00,50.00,50.51,35.29,6.99,0.2
5,20231021,10,江戸川,6,4167,片岡秀樹,41,徳島,57,B1,5.34,30.85,5.83,50.00,28.00,22.73,6.99,0.2
0,20231021,11,江戸川,1,4886,入海馨,27,岡山,53,A1,6.83,51.91,6.24,44.83,31.58,37.89,6.99,0.2
1,20231021,11,江戸川,2,4934,佐々木翔,27,大阪,54,A2,5.69,42.42,4.66,28.13,32.08,33.67,6.99,0.2
2,20231021,11,江戸川,3,4093,吉田宗弘,42,東京,51,B1,4.45,24.36,5.11,30.59,30.30,34.95,6.99,0.2
3,20231021,11,江戸川,4,3807,岡部哲,48,埼玉,52,B1,5.10,30.25,6.22,50.00,29.90,45.19,6.99,0.2
4,20231021,11,江戸川,5,4407,鹿島敏弘,37,群馬,57,B1,5.19,26.85,5.38,30.19,38.38,25.32,6.99,0.2
5,20231021,11,江戸川,6,4757,山田祐也,34,徳島,53,A2,6.79,54.87,3.75,0.00,47.42,23.75,6.99,0.2
0,20231021,12,江戸川,1,3685,荒井輝年,49,岡山,57,A1,5.87,40.34,6.10,38.46,27.00,30.39,6.99,0.2
1,20231021,12,江戸川,2,4095,福来剛,42,東京,52,A1,6.62,48.30,6.81,53.15,42.16,33.01,6.99,0.2
2,20231021,12,江戸川,3,4370,山口達也,37,岡山,55,A1,5.56,35.11,6.94,56.45,28.57,24.72,6.99,0.2
3,20231021,12,江戸川,4,4398,船岡洋一,36,広島,52,A1,6.67,51.22,5.61,30.43,16.47,25.29,6.99,0.2
4,20231021,12,江戸川,5,4828,松山将吾,29,滋賀,51,A1,6.12,44.83,5.70,40.00,30.53,39.60,6.99,0.2
5,20231021,12,江戸川,6,4933,板橋侑我,27,静岡,53,A1,6.86,51.65,7.01,53.33,32.65,30.70,6.99,0.2
0,20231021,1,戸田,1,4439,近藤友宝,37,埼玉,54,B1,4.34,21.78,4.33,17.31,44.90,40.00,6.99,0.2
1,20231021,1,戸田,2,4474,渡辺崇,36,福岡,57,B1,5.11,29.20,3.86,14.29,45.83,19.57,6.99,0.2
2,20231021,1,戸田,3,4813,宮内直哉,33,東京,52,B1,4.03,23.68,3.48,17.39,25.00,51.52,6.99,0.2
3,20231021,1,戸田,4,3141,山来和人,61,東京,55,B1,3.85,15.48,4.30,26.98,32.00,29.17,6.99,0.2
4,20231021,1,戸田,5,3339,泉具巳,58,兵庫,56,B1,5.70,38.04,5.31,34.48,40.00,18.18,6.99,0.2
5,20231021,1,戸田,6,3605,中村守成,52,三重,53,B1,3.72,13.92,4.36,26.00,32.50,17.86,6.99,0.2
0,20231021,2,戸田,1,3233,小畑実成,56,岡山,53,B1,5.19,33.90,6.55,45.45,31.91,40.00,6.99,0.2
1,20231021,2,戸田,2,4842,山下昂大,31,岡山,55,A1,6.23,44.78,0.00,0.00,20.00,52.27,6.99,0.2
2,20231021,2,戸田,3,3105,内山文典,60,東京,54,A2,5.60,40.50,4.50,22.50,38.78,35.71,6.99,0.2
3,20231021,2,戸田,4,3619,長谷川充,49,群馬,52,B1,4.75,25.41,5.25,28.85,19.05,35.56,6.99,0.2
4,20231021,2,戸田,5,4432,黄金井力,37,埼玉,55,B1,5.49,29.52,5.25,30.43,40.68,28.00,6.99,0.2
5,20231021,2,戸田,6,4140,梶野学志,42,東京,53,A1,6.67,49.57,7.50,64.52,32.56,44.19,6.99,0.2
0,20231021,3,戸田,1,4406,幸野史明,38,福岡,52,B1,4.91,30.84,5.00,31.25,44.07,26.53,6.99,0.2
1,20231021,3,戸田,2,5036,福田翔吾,25,大阪,53,B1,4.96,31.37,5.11,25.71,25.53,36.36,6.99,0.2
2,20231021,3,戸田,3,3412,鈴木博,54,埼玉,53,A2,6.23,41.13,6.54,46.41,31.11,54.05,6.99,0.2
3,20231021,3,戸田,4,5219,森口和紀,23,福岡,53,B1,2.91,7.89,0.00,0.00,37.25,36.96,6.99,0.2
4,20231021,3,戸田,5,3659,藤生雄人,49,群馬,53,A2,6.02,42.74,5.15,30.77,27.50,29.63,6.99,0.2
5,20231021,3,戸田,6,4428,有賀達也,38,埼玉,52,A1,6.45,43.90,5.87,42.00,33.33,45.83,6.99,0.2
0,20231021,4,戸田,1,4039,村上功祐,44,大阪,58,B1,5.39,33.66,4.50,30.00,27.66,48.84,6.99,0.2
1,20231021,4,戸田,2,4124,池田雄一,41,静岡,52,A1,6.31,47.90,5.35,34.62,52.73,36.59,6.99,0.2
2,20231021,4,戸田,3,3681,山谷央,50,東京,51,A2,5.23,29.31,5.64,30.56,28.00,32.56,6.99,0.2
3,20231021,4,戸田,4,3850,小川知行,51,群馬,52,B1,4.78,28.13,5.27,30.77,20.45,26.42,6.99,0.2
4,20231021,4,戸田,5,4270,岸本雄貴,41,三重,66,B1,4.07,21.43,5.05,37.84,24.49,27.08,6.99,0.2
5,20231021,4,戸田,6,3161,古場輝義,63,大阪,52,A2,5.61,35.43,5.32,28.00,41.18,41.03,6.99,0.2
0,20231021,5,戸田,1,3251,平石和男,57,埼玉,48,A2,5.69,36.36,5.58,36.41,22.22,27.66,6.99,0.2
1,20231021,5,戸田,2,5100,栗原一馬,27,群馬,56,B2,3.69,20.00,2.70,3.33,25.00,43.59,6.99,0.2
2,20231021,5,戸田,3,4281,大澤大夢,39,埼玉,53,B1,5.33,35.14,5.24,31.85,53.33,16.67,6.99,0.2
3,20231021,5,戸田,4,3813,佐藤大介,47,愛知,54,A1,6.47,45.53,6.00,44.44,25.53,14.58,6.99,0.2
4,20231021,5,戸田,5,3346,宮本裕之,56,兵庫,52,B1,3.91,19.75,4.18,25.00,28.89,36.00,6.99,0.2
5,20231021,5,戸田,6,4813,宮内直哉,33,東京,52,B1,4.03,23.68,3.48,17.39,25.00,51.52,6.99,0.2
0,20231021,6,戸田,1,4104,木下陽介,44,東京,52,B1,5.12,35.48,5.76,41.18,27.66,32.08,6.99,0.2
1,20231021,6,戸田,2,3983,須藤博倫,46,埼玉,52,A2,6.52,46.30,6.94,52.63,28.30,18.87,6.99,0.2
2,20231021,6,戸田,3,4037,別府正幸,44,埼玉,53,B1,5.72,36.70,5.12,32.69,18.37,42.50,6.99,0.2
3,20231021,6,戸田,4,3605,中村守成,52,三重,53,B1,3.72,13.92,4.36,26.00,32.50,17.86,6.99,0.2
4,20231021,6,戸田,5,4066,東本勝利,43,三重,53,A2,5.88,42.86,6.29,50.00,26.98,38.46,6.99,0.2
5,20231021,6,戸田,6,3300,川崎智幸,56,岡山,52,A1,6.30,45.07,6.71,47.06,28.89,58.97,6.99,0.2
0,20231021,7,戸田,1,3484,芝田浩治,52,兵庫,53,A1,6.10,42.06,6.08,32.00,31.71,41.46,6.99,0.2
1,20231021,7,戸田,2,4432,黄金井力,37,埼玉,55,B1,5.49,29.52,5.25,30.43,40.68,28.00,6.99,0.2
2,20231021,7,戸田,3,4186,小川時光,42,埼玉,57,B2,3.37,13.56,4.54,22.73,39.58,44.12,6.99,0.2
3,20231021,7,戸田,4,4474,渡辺崇,36,福岡,57,B1,5.11,29.20,3.86,14.29,45.83,19.57,6.99,0.2
4,20231021,7,戸田,5,4674,池田剛規,36,福岡,52,B1,4.90,30.43,5.06,25.00,39.58,45.45,6.99,0.2
5,20231021,7,戸田,6,5036,福田翔吾,25,大阪,53,B1,4.96,31.37,5.11,25.71,25.53,36.36,6.99,0.2
0,20231021,8,戸田,1,3339,泉具巳,58,兵庫,56,B1,5.70,38.04,5.31,34.48,40.00,18.18,6.99,0.2
1,20231021,8,戸田,2,4428,有賀達也,38,埼玉,52,A1,6.45,43.90,5.87,42.00,33.33,45.83,6.99,0.2
2,20231021,8,戸田,3,4506,稗田聖也,35,福岡,53,A2,4.82,32.61,4.55,35.00,40.35,36.59,6.99,0.2
3,20231021,8,戸田,4,4138,中井俊祐,43,大阪,53,B1,4.36,22.09,5.35,35.48,21.74,50.00,6.99,0.2
4,20231021,8,戸田,5,4039,村上功祐,44,大阪,58,B1,5.39,33.66,4.50,30.00,27.66,48.84,6.99,0.2
5,20231021,8,戸田,6,3105,内山文典,60,東京,54,A2,5.60,40.50,4.50,22.50,38.78,35.71,6.99,0.2
0,20231021,9,戸田,1,3659,藤生雄人,49,群馬,53,A2,6.02,42.74,5.15,30.77,27.50,29.63,6.99,0.2
1,20231021,9,戸田,2,4140,梶野学志,42,東京,53,A1,6.67,49.57,7.50,64.52,32.56,44.19,6.99,0.2
2,20231021,9,戸田,3,3505,山田竜一,52,東京,53,A2,5.46,26.45,5.91,35.94,50.00,41.30,6.99,0.2
3,20231021,9,戸田,4,5252,荒木颯斗,21,愛知,54,B1,3.28,9.80,3.71,11.76,40.82,32.61,6.99,0.2
4,20231021,9,戸田,5,4124,池田雄一,41,静岡,52,A1,6.31,47.90,5.35,34.62,52.73,36.59,6.99,0.2
5,20231021,9,戸田,6,4281,大澤大夢,39,埼玉,53,B1,5.33,35.14,5.24,31.85,53.33,16.67,6.99,0.2
0,20231021,10,戸田,1,3319,山崎義明,56,埼玉,52,A2,5.79,34.82,6.47,46.46,55.32,34.62,6.99,0.2
1,20231021,10,戸田,2,3377,塚田修二,56,東京,55,B1,4.61,28.57,4.07,18.52,31.71,15.09,6.99,0.2
2,20231021,10,戸田,3,3300,川崎智幸,56,岡山,52,A1,6.30,45.07,6.71,47.06,28.89,58.97,6.99,0.2
3,20231021,10,戸田,4,4406,幸野史明,38,福岡,52,B1,4.91,30.84,5.00,31.25,44.07,26.53,6.99,0.2
4,20231021,10,戸田,5,4076,杉田篤光,45,静岡,52,A2,5.79,38.40,5.40,34.00,43.18,52.63,6.99,0.2
5,20231021,10,戸田,6,3681,山谷央,50,東京,51,A2,5.23,29.31,5.64,30.56,28.00,32.56,6.99,0.2
0,20231021,11,戸田,1,4066,東本勝利,43,三重,53,A2,5.88,42.86,6.29,50.00,26.98,38.46,6.99,0.2
1,20231021,11,戸田,2,3412,鈴木博,54,埼玉,53,A2,6.23,41.13,6.54,46.41,31.11,54.05,6.99,0.2
2,20231021,11,戸田,3,3251,平石和男,57,埼玉,48,A2,5.69,36.36,5.58,36.41,22.22,27.66,6.99,0.2
3,20231021,11,戸田,4,3484,芝田浩治,52,兵庫,53,A1,6.10,42.06,6.08,32.00,31.71,41.46,6.99,0.2
4,20231021,11,戸田,5,3850,小川知行,51,群馬,52,B1,4.78,28.13,5.27,30.77,20.45,26.42,6.99,0.2
5,20231021,11,戸田,6,3619,長谷川充,49,群馬,52,B1,4.75,25.41,5.25,28.85,19.05,35.56,6.99,0.2
0,20231021,12,戸田,1,3813,佐藤大介,47,愛知,54,A1,6.47,45.53,6.00,44.44,25.53,14.58,6.99,0.2
1,20231021,12,戸田,2,4506,稗田聖也,35,福岡,53,A2,4.82,32.61,4.55,35.00,40.35,36.59,6.99,0.2
2,20231021,12,戸田,3,4080,山崎哲司,44,愛知,50,B2,6.58,44.44,7.11,55.56,31.82,43.64,6.99,0.2
3,20231021,12,戸田,4,4842,山下昂大,31,岡山,55,A1,6.23,44.78,0.00,0.00,20.00,52.27,6.99,0.2
4,20231021,12,戸田,5,3161,古場輝義,63,大阪,52,A2,5.61,35.43,5.32,28.00,41.18,41.03,6.99,0.2
5,20231021,12,戸田,6,4674,池田剛規,36,福岡,52,B1,4.90,30.43,5.06,25.00,39.58,45.45,6.99,0.2
0,20231021,1,桐生,1,5184,飯塚響,24,群馬,44,B2,2.05,2.56,1.83,6.06,41.18,31.94,6.99,0.2
1,20231021,1,桐生,2,4546,浜田亜理,35,埼玉,47,A1,7.10,53.66,5.89,34.04,36.22,27.54,6.99,0.2
2,20231021,1,桐生,3,5005,石田貴洋,27,埼玉,52,A2,5.67,33.59,4.59,25.93,33.33,29.29,6.99,0.2
3,20231021,1,桐生,4,5306,河内悠利,20,群馬,47,B2,1.25,0.00,1.50,0.00,36.59,31.44,6.99,0.2
4,20231021,1,桐生,5,4004,山本浩輔,45,長崎,54,B1,3.95,15.32,0.00,0.00,34.52,32.80,6.99,0.2
5,20231021,1,桐生,6,3949,今出晋二,47,岡山,58,B1,3.30,7.50,3.75,25.00,35.90,37.50,6.99,0.2
0,20231021,2,桐生,1,4568,廣瀬真也,35,東京,50,B1,4.89,31.96,6.21,42.86,30.66,39.29,6.99,0.2
1,20231021,2,桐生,2,3699,富永正人,50,埼玉,54,B1,4.50,23.33,4.67,28.33,34.21,30.90,6.99,0.2
2,20231021,2,桐生,3,4098,赤澤文香,41,岡山,49,B1,4.51,18.18,5.11,22.22,27.98,31.96,6.99,0.2
3,20231021,2,桐生,4,4601,森野正弘,38,山口,54,A1,5.90,43.48,6.75,50.00,45.20,40.10,6.99,0.2
4,20231021,2,桐生,5,3967,鈴木茂高,44,愛知,57,B1,4.55,24.37,4.26,17.65,37.43,33.85,6.99,0.2
5,20231021,2,桐生,6,3702,貞兼淳二,50,福岡,58,A2,5.73,40.59,5.00,33.33,35.03,27.37,6.99,0.2
0,20231021,3,桐生,1,3226,浦田信義,58,東京,51,B1,4.87,27.05,4.44,25.93,37.13,28.04,6.99,0.2
1,20231021,3,桐生,2,4161,黒柳浩孝,41,愛知,55,A2,5.57,38.46,6.40,41.67,44.51,32.28,6.99,0.2
2,20231021,3,桐生,3,4501,樋口由加,35,岡山,45,B1,5.61,40.32,5.31,18.75,29.24,41.15,6.99,0.2
3,20231021,3,桐生,4,3435,寺田千恵,54,岡山,46,A1,6.63,49.59,8.00,75.00,34.36,27.33,6.99,0.2
4,20231021,3,桐生,5,4343,村岡賢,39,広島,54,B1,4.02,19.79,0.00,0.00,31.87,30.57,6.99,0.2
5,20231021,3,桐生,6,3246,星野政彦,59,兵庫,54,B1,4.45,23.75,6.70,60.00,30.00,27.63,6.99,0.2
0,20231021,4,桐生,1,4691,水原慎,40,徳島,50,B1,4.40,21.88,0.00,0.00,37.77,30.34,6.99,0.2
1,20231021,4,桐生,2,4090,中村尊,43,埼玉,54,A2,6.50,51.75,6.13,46.43,26.90,31.44,6.99,0.2
2,20231021,4,桐生,3,3488,柳田英明,56,東京,52,B1,2.76,5.88,3.74,15.79,32.02,25.14,6.99,0.2
3,20231021,4,桐生,4,4134,杉山貴博,43,東京,55,A2,6.55,51.43,6.22,41.67,31.82,36.55,6.99,0.2
4,20231021,4,桐生,5,4683,向井田直,33,広島,46,B1,4.63,32.93,0.00,0.00,32.45,25.53,6.99,0.2
5,20231021,4,桐生,6,3489,大場敏,56,静岡,53,A1,6.34,44.78,6.48,46.43,43.09,37.11,6.99,0.2
0,20231021,5,桐生,1,4603,谷川将太,35,長崎,54,B1,4.60,24.53,2.33,11.11,34.90,36.96,6.99,0.2
1,20231021,5,桐生,2,3719,辻栄蔵,48,広島,52,A1,6.83,42.66,7.60,40.00,29.95,27.81,6.99,0.2
2,20231021,5,桐生,3,4373,若狭奈美,35,岡山,47,A2,5.37,34.69,6.14,52.38,32.28,31.52,6.99,0.2
3,20231021,5,桐生,4,3984,坂口周,45,三重,54,A1,6.52,52.99,7.03,55.00,34.38,24.38,6.99,0.2
4,20231021,5,桐生,5,5184,飯塚響,24,群馬,44,B2,2.05,2.56,1.83,6.06,41.18,31.94,6.99,0.2
5,20231021,5,桐生,6,4274,長畑友輔,41,東京,51,B1,4.61,27.72,4.64,24.00,39.90,36.27,6.99,0.2
0,20231021,6,桐生,1,4523,中村辰也,35,長崎,52,A1,5.81,41.67,0.00,0.00,34.38,38.30,6.99,0.2
1,20231021,6,桐生,2,4098,赤澤文香,41,岡山,49,B1,4.51,18.18,5.11,22.22,27.98,31.96,6.99,0.2
2,20231021,6,桐生,3,3949,今出晋二,47,岡山,58,B1,3.30,7.50,3.75,25.00,35.90,37.50,6.99,0.2
3,20231021,6,桐生,4,4034,西原明生,44,香川,55,B1,4.13,17.53,0.00,0.00,29.76,35.86,6.99,0.2
4,20231021,6,桐生,5,3796,長野道臣,50,静岡,54,B1,5.72,39.13,5.14,35.71,35.58,41.45,6.99,0.2
5,20231021,6,桐生,6,5248,本田愛,21,静岡,48,B2,3.22,10.53,0.00,0.00,28.57,30.99,6.99,0.2
0,20231021,7,桐生,1,3740,大澤普司,49,群馬,54,A2,6.12,42.57,6.70,47.93,38.46,36.27,6.99,0.2
1,20231021,7,桐生,2,4268,和合俊介,38,福岡,59,B1,3.96,23.81,4.83,16.67,29.65,37.24,6.99,0.2
2,20231021,7,桐生,3,4109,谷津幸宏,43,埼玉,55,A2,6.51,47.37,5.91,40.00,39.32,31.09,6.99,0.2
3,20231021,7,桐生,4,3699,富永正人,50,埼玉,54,B1,4.50,23.33,4.67,28.33,34.21,30.90,6.99,0.2
4,20231021,7,桐生,5,4501,樋口由加,35,岡山,45,B1,5.61,40.32,5.31,18.75,29.24,41.15,6.99,0.2
5,20231021,7,桐生,6,5306,河内悠利,20,群馬,47,B2,1.25,0.00,1.50,0.00,36.59,31.44,6.99,0.2
0,20231021,8,桐生,1,3811,石田章央,47,静岡,54,A2,6.54,48.46,5.90,39.74,32.32,33.51,6.99,0.2
1,20231021,8,桐生,2,3967,鈴木茂高,44,愛知,57,B1,4.55,24.37,4.26,17.65,37.43,29.85,6.99,0.2
2,20231021,8,桐生,3,3226,浦田信義,58,東京,51,B1,4.87,27.05,4.44,25.93,37.13,28.04,6.99,0.2
3,20231021,8,桐生,4,4201,佐竹友樹,41,埼玉,52,B1,5.20,30.61,4.64,24.72,39.23,42.05,6.99,0.2
4,20231021,8,桐生,5,3743,林美憲,48,徳島,53,A1,6.62,48.04,0.00,0.00,35.23,32.28,6.99,0.2
5,20231021,8,桐生,6,3488,柳田英明,56,東京,52,B1,2.76,5.88,3.74,15.79,32.02,25.14,6.99,0.2
0,20231021,9,桐生,1,5027,重冨勇哉,27,山口,54,B1,4.95,27.38,0.00,0.00,43.10,41.33,6.99,0.2
1,20231021,9,桐生,2,4683,向井田直,33,広島,46,B1,4.63,32.93,0.00,0.00,32.45,25.53,6.99,0.2
2,20231021,9,桐生,3,3702,貞兼淳二,50,福岡,58,A2,5.73,40.59,5.00,33.33,35.03,27.37,6.99,0.2
3,20231021,9,桐生,4,4004,山本浩輔,45,長崎,54,B1,3.95,15.32,0.00,0.00,34.52,32.80,6.99,0.2
4,20231021,9,桐生,5,3441,土屋太朗,54,群馬,53,B1,4.62,22.58,5.51,37.67,35.98,36.08,6.99,0.2
5,20231021,9,桐生,6,4189,川上剛,42,福岡,56,A2,6.57,48.65,7.50,62.50,32.24,34.10,6.99,0.2
0,20231021,10,桐生,1,4623,中北将史,38,三重,52,B1,4.85,22.33,4.28,16.00,29.51,31.41,6.99,0.2
1,20231021,10,桐生,2,3406,中里英夫,55,群馬,52,A2,4.78,25.47,6.18,42.68,39.58,34.29,6.99,0.2
2,20231021,10,桐生,3,4134,杉山貴博,43,東京,55,A2,6.55,51.43,6.22,41.67,31.82,36.55,6.99,0.2
3,20231021,10,桐生,4,4373,若狭奈美,35,岡山,47,A2,5.37,34.69,6.14,52.38,32.28,31.52,6.99,0.2
4,20231021,10,桐生,5,5248,本田愛,21,静岡,48,B2,3.22,10.53,0.00,0.00,28.57,30.99,6.99,0.2
5,20231021,10,桐生,6,4343,村岡賢,39,広島,54,B1,4.02,19.79,0.00,0.00,31.87,30.57,6.99,0.2
0,20231021,11,桐生,1,3719,辻栄蔵,48,広島,52,A1,6.83,42.66,7.60,40.00,29.95,27.81,6.99,0.2
1,20231021,11,桐生,2,3489,大場敏,56,静岡,53,A1,6.34,44.78,6.48,46.43,43.09,37.11,6.99,0.2
2,20231021,11,桐生,3,4523,中村辰也,35,長崎,52,A1,5.81,41.67,0.00,0.00,34.38,38.30,6.99,0.2
3,20231021,11,桐生,4,4109,谷津幸宏,43,埼玉,55,A2,6.51,47.37,5.91,40.00,39.32,31.09,6.99,0.2
4,20231021,11,桐生,5,4161,黒柳浩孝,41,愛知,55,A2,5.57,38.46,6.40,41.67,44.51,32.28,6.99,0.2
5,20231021,11,桐生,6,4546,浜田亜理,35,埼玉,47,A1,7.10,53.66,5.89,34.04,36.22,27.54,6.99,0.2
0,20231021,12,桐生,1,3435,寺田千恵,54,岡山,46,A1,6.63,49.59,8.00,75.00,34.36,36.18,6.99,0.2
1,20231021,12,桐生,2,3743,林美憲,48,徳島,53,A1,6.62,48.04,0.00,0.00,35.23,32.28,6.99,0.2
2,20231021,12,桐生,3,3984,坂口周,45,三重,54,A1,6.52,52.99,7.03,55.00,34.38,24.38,6.99,0.2
3,20231021,12,桐生,4,4090,中村尊,43,埼玉,54,A2,6.50,51.75,6.13,46.43,26.90,31.44,6.99,0.2
4,20231021,12,桐生,5,4601,森野正弘,38,山口,54,A1,5.90,43.48,6.75,50.00,45.20,40.10,6.99,0.2
5,20231021,12,桐生,6,5005,石田貴洋,27,埼玉,52,A2,5.67,33.59,4.59,25.93,33.33,29.29,6.99,0.2
